Thu Oct 15 10:42:11 IST 2020 domain:banking_cee user:Homer Dixon sessionId:d16-GHIYXPLYTGIQ clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@2b664029
Thu Oct 15 10:42:56 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d17-RZLSZATBTFXL clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@71f46dcc
Thu Oct 15 10:43:33 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d18-IEX7BVWCGHQP clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@7fb9d0bd
Thu Oct 15 10:43:55 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d18-IEX7BVWCGHQP clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@357b6966
Thu Oct 15 10:44:30 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d18-IEX7BVWCGHQP clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@19a1bd08
Thu Oct 15 10:46:39 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d1-2PHOUPUZAFAB clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@6760c682
Thu Oct 15 10:46:50 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d1-2PHOUPUZAFAB clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@2af8373c
Thu Oct 15 10:46:53 IST 2020 domain:banking_cee user:Gus Holmes sessionId:d1-2PHOUPUZAFAB clientIP:192.168.0.101 task:EVT_getUserOption TYPE:GroovyAction@189aeb72
Thu Oct 15 10:47:05 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d2-SF71EUVXFAIE clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@39de3f4f
Thu Oct 15 10:47:08 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d2-SF71EUVXFAIE clientIP:192.168.0.101 task:getCreditCardLimit TYPE:GroovyAction@68bd2f7d
Thu Oct 15 10:47:21 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d2-SF71EUVXFAIE clientIP:192.168.0.101 task:fundTransfer TYPE:GroovyAction@5bb8ddc4
Thu Oct 15 10:49:29 IST 2020 domain:banking_cee user:Aubrey Wright sessionId:d3-GSPE3Y7DVLSN clientIP:192.168.0.101 task:getUserProfile TYPE:GroovyAction@301858d3
